2016-06-20 15:55:55,820 [Worker-216] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.capgemini.tp.jee:TP_01__Calculateur_JSP:0.0.1-SNAPSHOT @ C:\LB_Training\JAVA_EE\eclipse\worksplace\TP_01__Calculateur_JSP\pom.xml.
2016-06-20 15:55:56,847 [Worker-216] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TP_01__Calculateur_JSP/src/main/java
2016-06-20 15:55:56,849 [Worker-216] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /TP_01__Calculateur_JSP/src/main/resources
2016-06-20 15:55:56,849 [Worker-216] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TP_01__Calculateur_JSP/src/test/java
2016-06-20 15:55:56,849 [Worker-216] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /TP_01__Calculateur_JSP/src/test/resources
2016-06-20 15:55:57,310 [Worker-218] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-20 15:55:57,319 [Worker-218] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-20 15:55:57,321 [Worker-218] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-20 15:55:57,324 [Worker-218] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-20 15:55:58,404 [Worker-216] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-20 15:55:58,410 [Worker-216] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-20 15:55:58,411 [Worker-216] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-20 15:55:58,414 [Worker-216] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-20 15:58:49,491 [Worker-217] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.capgemini.tp.jee:TP_01__Calculateur_JSP:0.0.1-SNAPSHOT @ C:\LB_Training\JAVA_EE\eclipse\worksplace\TP_01__Calculateur_JSP\pom.xml.
2016-06-20 15:58:49,903 [Worker-217] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TP_01__Calculateur_JSP/src/main/java
2016-06-20 15:58:49,903 [Worker-217] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /TP_01__Calculateur_JSP/src/main/resources
2016-06-20 15:58:49,906 [Worker-217] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TP_01__Calculateur_JSP/src/test/java
2016-06-20 15:58:49,906 [Worker-217] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /TP_01__Calculateur_JSP/src/test/resources
2016-06-20 15:58:50,197 [Worker-223] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-20 15:58:50,201 [Worker-223] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-20 15:58:50,204 [Worker-223] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-20 15:58:50,208 [Worker-223] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-20 15:58:51,287 [Worker-227] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-20 15:58:51,294 [Worker-227] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-20 15:58:51,298 [Worker-227] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-20 15:58:51,305 [Worker-227] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-20 16:09:23,261 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.capgemini.tp.jee:TP_01__Calculateur_JSP:0.0.1-SNAPSHOT @ C:\LB_Training\JAVA_EE\eclipse\worksplace\TP_01__Calculateur_JSP\pom.xml.
2016-06-20 16:09:23,985 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-20 16:09:23,993 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-20 16:09:23,995 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-20 16:09:23,998 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
